path	sha256	content_class	observed_declaration	normalized_spdx	license_references	module_license_metadata	source_origin	modification_status	patch_ids	redistribution_review_state	copyright_notices
drivers/innogpu/inno_drm.c	89452d8d6fec24c859eb7c1a3799698e7deb6b383d375e3a4e6af65d33451000	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	project-modified	patch-001	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_drm.h	ed839be622466c3111fab982fb42e2031edcf4bc128e0e906de8769fa48f73b1	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_drm_mode.c	50c0cdac9e576014fb64d67819f263607eb9ac73f9c5716466041158917a790a	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_drm_mode.h	0a78e951d278787f459c1a4a89ab9cdf0e52365c24d3cdcb7b85f2976c4bcb2e	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_fence.c	b13e9a0c547a5d2ece047cd6e5ee3a3f51806ced11b92582779dfb4d48c6b222	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_fence.h	2d284ccff6e5f144501ccf6ec49ffb1e98dd3b7a8cdce72eeb5269e56baac8b7	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_firmware.c	6a39313f8b9d5b0a129cde2e02e80c8adbcce4f425e89722de2f4e019e60670f	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_firmware.h	92b0a50d6ca71292afd8e07a0538bb6d39aba5567d97888de8c359241d299a14	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_fs.c	67c1176bcebf50bf5d01d5693db42b1022efbafefb4b66be669b6d7cef404627	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_fs.h	c744b3362428decd6bb313dc0d18ddd4080afb7d40db77c2a961910b1340f07b	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
